year,month,season,label,media,campaign,install,first_purchase,spend,cpi,cpa,cvr
2023,6,non_season,fp,카카오모먼트,230316_카카오비즈보드(전환_앱)_UA_가입타겟팅,788,2492,170339444,216166.80710659898,68354.51203852327,3.1624365482233503
2023,6,non_season,fp,카카오모먼트,230511_카카오비즈보드(방문_앱)_날씨,820,165,12143967,14809.715853658536,73599.8,0.20121951219512196
2023,6,non_season,fp,카카오모먼트,230609_카카오비즈보드(방문_앱_AOS),1122,44,6767541,6031.676470588235,153807.75,0.0392156862745098
2023,6,non_season,fp,카카오모먼트,230619_카카오비즈보드(전환_앱_AOS),103,34,2739957,26601.52427184466,80586.9705882353,0.3300970873786408
2023,6,non_season,fp,페이스북,fb_conversion_pmkt_2211_AOS,0,0,0,,,
2023,6,non_season,fp,페이스북,fb_conversion_pmkt_2305_ASC,1138,237,15464964,13589.599297012302,65253.012658227846,0.20826010544815465
2023,6,non_season,fp,페이스북,fb_conversion_signup_catalog_2303_B,0,1,0,,0.0,inf
2023,6,non_season,fp,페이스북,fb_conversion_visit_catalog_2201_daba,6070,3568,190483973,31381.214662273476,53386.763733183856,0.5878088962108732
2023,7,non_season,fp,RTB하우스,UA_rtbhouse_retargeting_AOS,24,508,18509827,771242.7916666666,36436.66732283465,21.166666666666668
2023,7,non_season,fp,RTB하우스,UA_rtbhouse_retargeting_IOS,16,199,8854595,553412.1875,44495.452261306535,12.4375
2023,7,non_season,fp,카카오모먼트,220106_카카오비즈보드(방문_앱),7089,1266,82612479,11653.6153195091,65254.72274881517,0.17858654253068135
2023,7,non_season,fp,카카오모먼트,220913_카카오비즈보드(전환_회원가입_앱),47,106,2708442,57626.425531914894,25551.33962264151,2.25531914893617
2023,7,non_season,fp,카카오모먼트,230222_카카오비즈보드(전환_앱)_UA,0,1,0,,0.0,inf
2023,7,non_season,fp,카카오모먼트,230316_카카오비즈보드(전환_앱)_UA_가입타겟팅,79,384,8431149,106723.40506329114,21956.1171875,4.860759493670886
2023,7,non_season,fp,카카오모먼트,230511_카카오비즈보드(방문_앱)_날씨,105,37,1756311,16726.77142857143,47467.86486486487,0.3523809523809524
2023,7,non_season,fp,카카오모먼트,230619_카카오비즈보드(전환_앱_AOS),38,19,804221,21163.71052631579,42327.42105263158,0.5
2023,7,non_season,fp,카카오모먼트,230719_카카오비즈보드(방문_앱)_내셔널브랜드,623,49,6365473,10217.45264847512,129907.61224489796,0.07865168539325842
2023,7,non_season,fp,크리테오,App CAM_1st purchase_AOS,9,280,10206661,1134073.4444444445,36452.360714285714,31.11111111111111
2023,7,non_season,fp,크리테오,App CAM_1st purchase_iOS,0,2,270057,inf,135028.5,inf
2023,7,non_season,fp,페이스북,UA_fb_conversion_visit_catalog_2201_daba,5960,3164,172293778,28908.35201342282,54454.4178255373,0.5308724832214765
2023,7,non_season,fp,페이스북,UP_fb_traffic_pmkt_2201_IOS,43,60,5059897,117672.02325581395,84331.61666666667,1.3953488372093024
2023,7,non_season,fp,페이스북,UP_fb_traffic_pmkt_2307_IOS_national,30,36,5176513,172550.43333333332,143792.02777777778,1.2
2023,7,non_season,fp,페이스북,fb_conversion_pmkt_2211_AOS,0,1,0,,0.0,inf
2023,7,non_season,fp,페이스북,fb_conversion_pmkt_2305_ASC,67,22,2489933,37163.17910447761,113178.77272727272,0.3283582089552239
2023,8,non_season,fp,ACe,[AOS] ACe_UA,12,80,7115329,592944.0833333334,88941.6125,6.666666666666667
2023,8,non_season,fp,RTB하우스,UA_rtbhouse_retargeting_AOS,26,434,19819084,762272.4615384615,45666.09216589862,16.692307692307693
2023,8,non_season,fp,RTB하우스,UA_rtbhouse_retargeting_IOS,13,147,6630116,510008.92307692306,45102.82993197279,11.307692307692308
2023,8,non_season,fp,카카오모먼트,220106_카카오비즈보드(방문_앱),2496,528,37491787,15020.747996794871,71007.17234848485,0.21153846153846154
2023,8,non_season,fp,카카오모먼트,220913_카카오비즈보드(전환_회원가입_앱),231,121,12395309,53659.34632034632,102440.57024793388,0.5238095238095238
2023,8,non_season,fp,카카오모먼트,230222_카카오비즈보드(전환_앱)_UA,0,1,0,,0.0,inf
2023,8,non_season,fp,카카오모먼트,230316_카카오비즈보드(전환_앱)_UA_가입타겟팅,495,942,59473989,120149.47272727273,63135.86942675159,1.903030303030303
2023,8,non_season,fp,카카오모먼트,230511_카카오비즈보드(방문_앱)_날씨,0,0,0,,,
