,date,label,media,campaign,spend,imp,install,CPI,first_purchase,cpa,binned
1842,2022.6.22,인스톨,페이스북,fb_app_install_catalog_aos_2201,681774,58955,476,1432,22,30990,"(455.0, 910.0]"
1843,2022.6.22,인스톨,페이스북,fb_app_install_catalog_ios_2201,1148609,183128,851,1350,17,67565,"(455.0, 910.0]"
1851,2022.6.23,인스톨,페이스북,fb_app_install_AAA_aos_2205,1017175,130389,771,1319,21,48437,"(455.0, 910.0]"
1852,2022.6.23,인스톨,페이스북,fb_app_install_AAA_ios_2205,1402127,396159,1050,1335,13,107856,"(910.0, 1365.0]"
1853,2022.6.23,인스톨,페이스북,fb_app_install_catalog_aos_2201,676934,57000,423,1600,19,35628,"(0.0, 455.0]"
1854,2022.6.23,인스톨,페이스북,fb_app_install_catalog_ios_2201,1152243,195823,765,1506,17,67779,"(455.0, 910.0]"
1859,2022.6.24,인스톨,페이스북,fb_app_install_AAA_aos_2205,1027416,146272,666,1543,29,35428,"(455.0, 910.0]"
1860,2022.6.24,인스톨,페이스북,fb_app_install_AAA_ios_2205,1416275,344991,1013,1398,16,88517,"(910.0, 1365.0]"
1861,2022.6.24,인스톨,페이스북,fb_app_install_catalog_aos_2201,678988,57891,499,1361,33,20575,"(455.0, 910.0]"
1862,2022.6.24,인스톨,페이스북,fb_app_install_catalog_ios_2201,1152099,171781,688,1675,5,230420,"(455.0, 910.0]"
1866,2022.6.25,인스톨,페이스북,fb_app_install_AAA_aos_2205,1042540,126672,819,1273,23,45328,"(455.0, 910.0]"
1867,2022.6.25,인스톨,페이스북,fb_app_install_AAA_ios_2205,1418185,394097,912,1555,15,94546,"(910.0, 1365.0]"
1868,2022.6.25,인스톨,페이스북,fb_app_install_catalog_aos_2201,697502,54976,471,1481,17,41030,"(455.0, 910.0]"
1869,2022.6.25,인스톨,페이스북,fb_app_install_catalog_ios_2201,1169536,198118,704,1661,7,167077,"(455.0, 910.0]"
1875,2022.6.26,인스톨,페이스북,fb_app_install_AAA_aos_2205,1097047,176541,866,1267,26,42194,"(455.0, 910.0]"
1876,2022.6.26,인스톨,페이스북,fb_app_install_AAA_ios_2205,1511256,554466,937,1613,28,53973,"(910.0, 1365.0]"
1877,2022.6.26,인스톨,페이스북,fb_app_install_catalog_aos_2201,728999,60495,478,1525,20,36450,"(455.0, 910.0]"
1878,2022.6.26,인스톨,페이스북,fb_app_install_catalog_ios_2201,1235289,203613,754,1638,18,68627,"(455.0, 910.0]"
1882,2022.6.27,인스톨,페이스북,fb_app_install_AAA_aos_2205,959738,130935,681,1409,20,47987,"(455.0, 910.0]"
1883,2022.6.27,인스톨,페이스북,fb_app_install_AAA_ios_2205,1213816,399607,1186,1023,13,93370,"(910.0, 1365.0]"
1884,2022.6.27,인스톨,페이스북,fb_app_install_catalog_aos_2201,693279,51408,429,1616,17,40781,"(0.0, 455.0]"
1885,2022.6.27,인스톨,페이스북,fb_app_install_catalog_ios_2201,1137219,190318,776,1465,25,45489,"(455.0, 910.0]"
1890,2022.6.28,인스톨,페이스북,fb_app_install_AAA_aos_2205,955013,163078,741,1289,21,45477,"(455.0, 910.0]"
1891,2022.6.28,인스톨,페이스북,fb_app_install_AAA_ios_2205,1362400,491186,747,1824,15,90827,"(455.0, 910.0]"
1892,2022.6.28,인스톨,페이스북,fb_app_install_catalog_aos_2201,655433,52523,447,1466,19,34496,"(0.0, 455.0]"
1893,2022.6.28,인스톨,페이스북,fb_app_install_catalog_ios_2201,1109657,174556,712,1559,16,69354,"(455.0, 910.0]"
1897,2022.6.29,인스톨,페이스북,fb_app_install_AAA_aos_2205,950819,187961,662,1436,19,50043,"(455.0, 910.0]"
1898,2022.6.29,인스톨,페이스북,fb_app_install_AAA_ios_2205,1363994,417468,1075,1269,14,97428,"(910.0, 1365.0]"
1899,2022.6.29,인스톨,페이스북,fb_app_install_catalog_aos_2201,651526,58519,444,1467,9,72392,"(0.0, 455.0]"
1900,2022.6.29,인스톨,페이스북,fb_app_install_catalog_ios_2201,1109930,180342,697,1592,14,79281,"(455.0, 910.0]"
1904,2022.6.30,인스톨,페이스북,fb_app_install_AAA_aos_2205,945088,193954,702,1346,14,67506,"(455.0, 910.0]"
1905,2022.6.30,인스톨,페이스북,fb_app_install_AAA_ios_2205,1340310,413307,897,1494,11,121846,"(455.0, 910.0]"
1906,2022.6.30,인스톨,페이스북,fb_app_install_catalog_aos_2201,650349,57542,471,1381,28,23227,"(455.0, 910.0]"
1907,2022.6.30,인스톨,페이스북,fb_app_install_catalog_ios_2201,1097277,181319,720,1524,14,78377,"(455.0, 910.0]"
1911,2022.7.1,인스톨,페이스북,fb_app_install_AAA_aos_2205,1671689,253554,1135,1473,34,49167,"(910.0, 1365.0]"
1912,2022.7.1,인스톨,페이스북,fb_app_install_AAA_ios_2205,1384949,493721,909,1524,20,69247,"(455.0, 910.0]"
1913,2022.7.1,인스톨,페이스북,fb_app_install_catalog_aos_2201,1112630,101252,658,1691,21,52982,"(455.0, 910.0]"
1914,2022.7.1,인스톨,페이스북,fb_app_install_catalog_ios_2201,1377409,243050,664,2074,20,68870,"(455.0, 910.0]"
1920,2022.7.2,인스톨,페이스북,fb_app_install_AAA_aos_2205,1712551,269525,1148,1492,50,34251,"(910.0, 1365.0]"
1921,2022.7.2,인스톨,페이스북,fb_app_install_AAA_ios_2205,1447873,522768,940,1540,14,103419,"(910.0, 1365.0]"
1922,2022.7.2,인스톨,페이스북,fb_app_install_catalog_aos_2201,1141557,113770,640,1784,14,81540,"(455.0, 910.0]"
1923,2022.7.2,인스톨,페이스북,fb_app_install_catalog_ios_2201,1449309,243584,752,1927,22,65878,"(455.0, 910.0]"
1929,2022.7.3,인스톨,페이스북,fb_app_install_AAA_aos_2205,1783819,264467,1339,1332,41,43508,"(910.0, 1365.0]"
1930,2022.7.3,인스톨,페이스북,fb_app_install_AAA_ios_2205,1484240,534649,1119,1326,6,247373,"(910.0, 1365.0]"
1931,2022.7.3,인스톨,페이스북,fb_app_install_catalog_aos_2201,1188624,109158,779,1526,30,39621,"(455.0, 910.0]"
1932,2022.7.3,인스톨,페이스북,fb_app_install_catalog_ios_2201,1481439,265260,949,1561,20,74072,"(910.0, 1365.0]"
1937,2022.7.4,인스톨,페이스북,fb_app_install_AAA_aos_2205,1735014,257222,1031,1683,45,38556,"(910.0, 1365.0]"
1938,2022.7.4,인스톨,페이스북,fb_app_install_AAA_ios_2205,1444613,589450,1096,1318,10,144461,"(910.0, 1365.0]"
1939,2022.7.4,인스톨,페이스북,fb_app_install_catalog_aos_2201,1157212,100793,664,1743,17,68071,"(455.0, 910.0]"
1940,2022.7.4,인스톨,페이스북,fb_app_install_catalog_ios_2201,1446480,283284,982,1473,15,96432,"(910.0, 1365.0]"
1945,2022.7.5,인스톨,페이스북,fb_app_install_AAA_aos_2205,1665383,214868,1040,1601,19,87652,"(910.0, 1365.0]"
1946,2022.7.5,인스톨,페이스북,fb_app_install_AAA_ios_2205,1389000,540302,1021,1360,18,77167,"(910.0, 1365.0]"
1947,2022.7.5,인스톨,페이스북,fb_app_install_catalog_aos_2201,1110663,90013,625,1777,18,61703,"(455.0, 910.0]"
1948,2022.7.5,인스톨,페이스북,fb_app_install_catalog_ios_2201,1389660,249776,901,1542,11,126333,"(455.0, 910.0]"
1954,2022.7.6,인스톨,페이스북,fb_app_install_AAA_aos_2205,1661821,205646,1090,1525,16,103864,"(910.0, 1365.0]"
1955,2022.7.6,인스톨,페이스북,fb_app_install_AAA_ios_2205,1385510,498526,1081,1282,15,92367,"(910.0, 1365.0]"
1956,2022.7.6,인스톨,페이스북,fb_app_install_catalog_aos_2201,1107919,89627,607,1825,14,79137,"(455.0, 910.0]"
1957,2022.7.6,인스톨,페이스북,fb_app_install_catalog_ios_2201,1384432,242529,880,1573,10,138443,"(455.0, 910.0]"
1962,2022.7.7,인스톨,페이스북,fb_app_install_AAA_aos_2205,1646812,234179,1002,1644,28,58815,"(910.0, 1365.0]"
1963,2022.7.7,인스톨,페이스북,fb_app_install_AAA_ios_2205,1372353,467191,1059,1296,15,91490,"(910.0, 1365.0]"
1964,2022.7.7,인스톨,페이스북,fb_app_install_catalog_aos_2201,1098756,88454,640,1717,23,47772,"(455.0, 910.0]"
1965,2022.7.7,인스톨,페이스북,fb_app_install_catalog_ios_2201,1371405,235356,895,1532,19,72179,"(455.0, 910.0]"
1969,2022.7.8,인스톨,페이스북,fb_app_install_AAA_aos_2205,1662511,243748,1009,1648,31,53629,"(910.0, 1365.0]"
1970,2022.7.8,인스톨,페이스북,fb_app_install_AAA_ios_2205,1370845,426594,927,1479,11,124622,"(910.0, 1365.0]"
1971,2022.7.8,인스톨,페이스북,fb_app_install_catalog_aos_2201,1107287,91018,572,1936,20,55364,"(455.0, 910.0]"
1972,2022.7.8,인스톨,페이스북,fb_app_install_catalog_ios_2201,1372640,222877,834,1646,17,80744,"(455.0, 910.0]"
1976,2022.7.9,인스톨,페이스북,fb_app_install_AAA_aos_2205,1692745,289401,1046,1618,31,54605,"(910.0, 1365.0]"
1977,2022.7.9,인스톨,페이스북,fb_app_install_AAA_ios_2205,1426846,496541,748,1908,22,64857,"(455.0, 910.0]"
1978,2022.7.9,인스톨,페이스북,fb_app_install_catalog_aos_2201,1128243,91501,673,1676,21,53726,"(455.0, 910.0]"
1979,2022.7.9,인스톨,페이스북,fb_app_install_catalog_ios_2201,1427348,233629,753,1896,27,52865,"(455.0, 910.0]"
1983,2022.7.10,인스톨,페이스북,fb_app_install_AAA_aos_2205,1778433,235029,1265,1406,54,32934,"(910.0, 1365.0]"
1984,2022.7.10,인스톨,페이스북,fb_app_install_AAA_ios_2205,1480117,566628,911,1625,13,113855,"(910.0, 1365.0]"
1985,2022.7.10,인스톨,페이스북,fb_app_install_catalog_aos_2201,1186082,92580,709,1673,18,65893,"(455.0, 910.0]"
1986,2022.7.10,인스톨,페이스북,fb_app_install_catalog_ios_2201,1481697,223708,741,2000,17,87159,"(455.0, 910.0]"
1990,2022.7.11,인스톨,페이스북,fb_app_install_AAA_aos_2205,1723409,235887,1029,1675,32,53857,"(910.0, 1365.0]"
1991,2022.7.11,인스톨,페이스북,fb_app_install_AAA_ios_2205,1434731,486879,1123,1278,13,110364,"(910.0, 1365.0]"
1992,2022.7.11,인스톨,페이스북,fb_app_install_catalog_aos_2201,1148595,90693,633,1815,23,49939,"(455.0, 910.0]"
1993,2022.7.11,인스톨,페이스북,fb_app_install_catalog_ios_2201,1434673,209065,921,1558,11,130425,"(910.0, 1365.0]"
1997,2022.7.12,인스톨,페이스북,fb_app_install_AAA_aos_2205,1660586,247836,880,1887,37,44881,"(455.0, 910.0]"
1998,2022.7.12,인스톨,페이스북,fb_app_install_AAA_ios_2205,1383097,591053,896,1544,11,125736,"(455.0, 910.0]"
1999,2022.7.12,인스톨,페이스북,fb_app_install_catalog_aos_2201,1107115,92814,596,1858,23,48135,"(455.0, 910.0]"
2000,2022.7.12,인스톨,페이스북,fb_app_install_catalog_ios_2201,1382264,243378,800,1728,16,86391,"(455.0, 910.0]"
2004,2022.7.13,인스톨,페이스북,fb_app_install_AAA_aos_2205,1479974,254627,920,1609,34,43529,"(910.0, 1365.0]"
2005,2022.7.13,인스톨,페이스북,fb_app_install_AAA_ios_2205,1371448,650007,885,1550,9,152383,"(455.0, 910.0]"
2006,2022.7.13,인스톨,페이스북,fb_app_install_catalog_aos_2201,1053556,85855,566,1861,28,37627,"(455.0, 910.0]"
2007,2022.7.13,인스톨,페이스북,fb_app_install_catalog_ios_2201,1315577,246390,871,1510,15,87705,"(455.0, 910.0]"
2011,2022.7.14,인스톨,페이스북,fb_app_install_AAA_aos_2205,1366565,249203,872,1567,25,54663,"(455.0, 910.0]"
2012,2022.7.14,인스톨,페이스북,fb_app_install_AAA_ios_2205,1503227,734858,1011,1487,15,100215,"(910.0, 1365.0]"
2013,2022.7.14,인스톨,페이스북,fb_app_install_catalog_aos_2201,1091445,89707,578,1888,23,47454,"(455.0, 910.0]"
2014,2022.7.14,인스톨,페이스북,fb_app_install_catalog_ios_2201,1364037,233738,899,1517,10,136404,"(455.0, 910.0]"
2018,2022.7.15,인스톨,페이스북,fb_app_install_AAA_aos_2205,1377897,224496,919,1499,32,43059,"(910.0, 1365.0]"
2019,2022.7.15,인스톨,페이스북,fb_app_install_AAA_ios_2205,1517260,674337,1037,1463,15,101151,"(910.0, 1365.0]"
2020,2022.7.15,인스톨,페이스북,fb_app_install_catalog_aos_2201,1103639,88289,521,2118,14,78831,"(455.0, 910.0]"
2021,2022.7.15,인스톨,페이스북,fb_app_install_catalog_ios_2201,1379391,233547,811,1701,11,125399,"(455.0, 910.0]"
2025,2022.7.16,인스톨,페이스북,fb_app_install_AAA_aos_2205,1404555,198577,934,1504,30,46818,"(910.0, 1365.0]"
2026,2022.7.16,인스톨,페이스북,fb_app_install_AAA_ios_2205,1549002,723337,897,1727,30,51633,"(455.0, 910.0]"
2027,2022.7.16,인스톨,페이스북,fb_app_install_catalog_aos_2201,1125471,87909,634,1775,21,53594,"(455.0, 910.0]"
2028,2022.7.16,인스톨,페이스북,fb_app_install_catalog_ios_2201,1407686,293900,700,2011,14,100549,"(455.0, 910.0]"
2032,2022.7.17,인스톨,페이스북,fb_app_install_AAA_aos_2205,1486337,216204,984,1511,31,47946,"(910.0, 1365.0]"
2033,2022.7.17,인스톨,페이스북,fb_app_install_AAA_ios_2205,1636414,693025,1078,1518,19,86127,"(910.0, 1365.0]"
2034,2022.7.17,인스톨,페이스북,fb_app_install_catalog_aos_2201,1186240,92474,702,1690,23,51576,"(455.0, 910.0]"
2035,2022.7.17,인스톨,페이스북,fb_app_install_catalog_ios_2201,1483234,289159,803,1847,19,78065,"(455.0, 910.0]"
2039,2022.7.18,인스톨,페이스북,fb_app_install_AAA_aos_2205,1422408,250827,946,1504,27,52682,"(910.0, 1365.0]"
2040,2022.7.18,인스톨,페이스북,fb_app_install_AAA_ios_2205,1566941,767967,1143,1371,11,142449,"(910.0, 1365.0]"
2041,2022.7.18,인스톨,페이스북,fb_app_install_catalog_aos_2201,1137665,98854,648,1756,24,47403,"(455.0, 910.0]"
2042,2022.7.18,인스톨,페이스북,fb_app_install_catalog_ios_2201,1421589,306824,908,1566,8,177699,"(455.0, 910.0]"
2046,2022.7.19,인스톨,페이스북,fb_app_install_AAA_aos_2205,1370429,233961,931,1472,18,76135,"(910.0, 1365.0]"
2047,2022.7.19,인스톨,페이스북,fb_app_install_AAA_ios_2205,1516053,644879,1024,1481,15,101070,"(910.0, 1365.0]"
2048,2022.7.19,인스톨,페이스북,fb_app_install_catalog_aos_2201,1097233,99100,628,1747,27,40638,"(455.0, 910.0]"
2049,2022.7.19,인스톨,페이스북,fb_app_install_catalog_ios_2201,1374551,283352,837,1642,18,76364,"(455.0, 910.0]"
2053,2022.7.20,인스톨,페이스북,fb_app_install_AAA_aos_2205,1774771,270887,1102,1610,32,55462,"(910.0, 1365.0]"
2054,2022.7.20,인스톨,페이스북,fb_app_install_AAA_ios_2205,2047779,787813,969,2113,17,120458,"(910.0, 1365.0]"
2055,2022.7.20,인스톨,페이스북,fb_app_install_catalog_aos_2201,1116508,99938,612,1824,19,58764,"(455.0, 910.0]"
2056,2022.7.20,인스톨,페이스북,fb_app_install_catalog_ios_2201,1439011,272338,873,1648,10,143901,"(455.0, 910.0]"
2060,2022.7.21,인스톨,페이스북,fb_app_install_AAA_aos_2205,2567800,315930,1491,1722,38,67574,"(1365.0, 1820.0]"
2061,2022.7.21,인스톨,페이스북,fb_app_install_AAA_ios_2205,2990210,872638,1202,2488,33,90612,"(910.0, 1365.0]"
2062,2022.7.21,인스톨,페이스북,fb_app_install_catalog_aos_2201,1282528,113557,656,1955,18,71252,"(455.0, 910.0]"
2063,2022.7.21,인스톨,페이스북,fb_app_install_catalog_ios_2201,1706993,279404,897,1903,18,94833,"(455.0, 910.0]"
2067,2022.7.22,인스톨,페이스북,fb_app_install_AAA_aos_2205,2590550,309790,1600,1619,44,58876,"(1365.0, 1820.0]"
2068,2022.7.22,인스톨,페이스북,fb_app_install_AAA_ios_2205,3030713,673189,1561,1942,13,233132,"(1365.0, 1820.0]"
2069,2022.7.22,인스톨,페이스북,fb_app_install_catalog_aos_2201,1296704,107481,602,2154,24,54029,"(455.0, 910.0]"
2070,2022.7.22,인스톨,페이스북,fb_app_install_catalog_ios_2201,1728752,251295,968,1786,12,144063,"(910.0, 1365.0]"
2074,2022.7.23,인스톨,페이스북,fb_app_install_AAA_aos_2205,2642702,366469,1689,1565,36,73408,"(1365.0, 1820.0]"
2075,2022.7.23,인스톨,페이스북,fb_app_install_AAA_ios_2205,3077148,792361,1560,1973,30,102572,"(1365.0, 1820.0]"
2076,2022.7.23,인스톨,페이스북,fb_app_install_catalog_aos_2201,1321308,113248,672,1966,32,41291,"(455.0, 910.0]"
2077,2022.7.23,인스톨,페이스북,fb_app_install_catalog_ios_2201,1764444,249411,877,2012,19,92865,"(455.0, 910.0]"
2081,2022.7.24,인스톨,페이스북,fb_app_install_AAA_aos_2205,2791745,428431,1855,1505,39,71583,"(1820.0, 2275.0]"
2082,2022.7.24,인스톨,페이스북,fb_app_install_AAA_ios_2205,3255807,1033260,1747,1864,26,125223,"(1365.0, 1820.0]"
2083,2022.7.24,인스톨,페이스북,fb_app_install_catalog_aos_2201,1391168,109579,756,1840,33,42157,"(455.0, 910.0]"
2084,2022.7.24,인스톨,페이스북,fb_app_install_catalog_ios_2201,1858492,271909,903,2058,19,97815,"(455.0, 910.0]"
2088,2022.7.25,인스톨,페이스북,fb_app_install_AAA_aos_2205,2674487,369755,1636,1635,34,78661,"(1365.0, 1820.0]"
2089,2022.7.25,인스톨,페이스북,fb_app_install_AAA_ios_2205,3126011,1083185,1993,1568,20,156301,"(1820.0, 2275.0]"
2090,2022.7.25,인스톨,페이스북,fb_app_install_catalog_aos_2201,1336992,112952,672,1990,19,70368,"(455.0, 910.0]"
2091,2022.7.25,인스톨,페이스북,fb_app_install_catalog_ios_2201,1783015,301039,953,1871,15,118868,"(910.0, 1365.0]"
2095,2022.7.26,인스톨,페이스북,fb_app_install_AAA_aos_2205,2584934,374049,1635,1581,51,50685,"(1365.0, 1820.0]"
2096,2022.7.26,인스톨,페이스북,fb_app_install_AAA_ios_2205,3017356,1019315,1948,1549,14,215525,"(1820.0, 2275.0]"
2097,2022.7.26,인스톨,페이스북,fb_app_install_catalog_aos_2201,1293243,109816,651,1987,19,68065,"(455.0, 910.0]"
2098,2022.7.26,인스톨,페이스북,fb_app_install_catalog_ios_2201,1721111,272896,898,1917,13,132393,"(455.0, 910.0]"
2102,2022.7.27,인스톨,페이스북,fb_app_install_AAA_aos_2205,2606392,373522,1704,1530,49,53192,"(1365.0, 1820.0]"
2103,2022.7.27,인스톨,페이스북,fb_app_install_AAA_ios_2205,3042620,833107,1968,1546,34,89489,"(1820.0, 2275.0]"
2104,2022.7.27,인스톨,페이스북,fb_app_install_catalog_aos_2201,1299275,115587,641,2027,13,99944,"(455.0, 910.0]"
2105,2022.7.27,인스톨,페이스북,fb_app_install_catalog_ios_2201,1734023,259795,900,1927,28,61929,"(455.0, 910.0]"
2109,2022.7.28,인스톨,페이스북,fb_app_install_AAA_aos_2205,2594873,365556,1503,1726,44,58974,"(1365.0, 1820.0]"
2110,2022.7.28,인스톨,페이스북,fb_app_install_AAA_ios_2205,3017643,909089,1939,1556,28,107773,"(1820.0, 2275.0]"
2111,2022.7.28,인스톨,페이스북,fb_app_install_catalog_aos_2201,1295282,105470,634,2043,15,86352,"(455.0, 910.0]"
2112,2022.7.28,인스톨,페이스북,fb_app_install_catalog_ios_2201,1726325,299769,894,1931,18,95907,"(455.0, 910.0]"
2116,2022.7.29,인스톨,페이스북,fb_app_install_AAA_aos_2205,2614450,419526,1436,1821,30,87148,"(1365.0, 1820.0]"
2117,2022.7.29,인스톨,페이스북,fb_app_install_AAA_ios_2205,3046096,1043353,2204,1382,23,132439,"(1820.0, 2275.0]"
2118,2022.7.29,인스톨,페이스북,fb_app_install_catalog_aos_2201,1310579,117165,551,2379,10,131058,"(455.0, 910.0]"
2119,2022.7.29,인스톨,페이스북,fb_app_install_catalog_ios_2201,1745916,307960,982,1778,16,109120,"(910.0, 1365.0]"
2123,2022.7.30,인스톨,페이스북,fb_app_install_AAA_aos_2205,2666817,402107,1541,1731,36,74078,"(1365.0, 1820.0]"
2124,2022.7.30,인스톨,페이스북,fb_app_install_AAA_ios_2205,3117149,986989,1941,1606,12,259762,"(1820.0, 2275.0]"
2125,2022.7.30,인스톨,페이스북,fb_app_install_catalog_aos_2201,1340310,112089,605,2215,18,74462,"(455.0, 910.0]"
2126,2022.7.30,인스톨,페이스북,fb_app_install_catalog_ios_2201,1786950,304115,840,2127,9,198550,"(455.0, 910.0]"
2130,2022.7.31,인스톨,페이스북,fb_app_install_AAA_aos_2205,2791242,355701,1678,1663,40,69781,"(1365.0, 1820.0]"
2131,2022.7.31,인스톨,페이스북,fb_app_install_AAA_ios_2205,3247865,1002410,1978,1642,17,191051,"(1820.0, 2275.0]"
2132,2022.7.31,인스톨,페이스북,fb_app_install_catalog_aos_2201,1391298,106009,640,2174,9,154589,"(455.0, 910.0]"
2133,2022.7.31,인스톨,페이스북,fb_app_install_catalog_ios_2201,1853766,334687,843,2199,12,154481,"(455.0, 910.0]"
2137,2022.8.1,인스톨,페이스북,fb_app_install_AAA_aos_2205,2018845,275174,1013,1993,27,74772,"(910.0, 1365.0]"
2138,2022.8.1,인스톨,페이스북,fb_app_install_AAA_ios_2205,2443684,672542,2084,1173,20,122184,"(1820.0, 2275.0]"
2139,2022.8.1,인스톨,페이스북,fb_app_install_catalog_aos_2201,1344422,102747,485,2772,10,134442,"(455.0, 910.0]"
2140,2022.8.1,인스톨,페이스북,fb_app_install_catalog_ios_2201,1618190,228004,927,1746,8,202274,"(910.0, 1365.0]"
2144,2022.8.2,인스톨,페이스북,fb_app_install_AAA_aos_2205,1949406,353056,1170,1666,35,55697,"(910.0, 1365.0]"
2145,2022.8.2,인스톨,페이스북,fb_app_install_AAA_ios_2205,2377531,779938,1458,1631,22,108070,"(1365.0, 1820.0]"
2146,2022.8.2,인스톨,페이스북,fb_app_install_catalog_aos_2201,1294761,112557,544,2380,20,64738,"(455.0, 910.0]"
2147,2022.8.2,인스톨,페이스북,fb_app_install_catalog_ios_2201,1583136,320626,690,2294,10,158314,"(455.0, 910.0]"
2151,2022.8.3,인스톨,페이스북,fb_app_install_AAA_aos_2205,1964185,327115,1170,1679,32,61381,"(910.0, 1365.0]"
2152,2022.8.3,인스톨,페이스북,fb_app_install_AAA_ios_2205,2383448,726181,1455,1638,13,183342,"(1365.0, 1820.0]"
2153,2022.8.3,인스톨,페이스북,fb_app_install_catalog_aos_2201,1305755,117506,611,2137,19,68724,"(455.0, 910.0]"
2154,2022.8.3,인스톨,페이스북,fb_app_install_catalog_ios_2201,1589428,305291,692,2297,18,88302,"(455.0, 910.0]"
2158,2022.8.4,인스톨,페이스북,fb_app_install_AAA_aos_2205,1806854,280835,994,1818,37,48834,"(910.0, 1365.0]"
2159,2022.8.4,인스톨,페이스북,fb_app_install_AAA_ios_2205,2090993,648267,1576,1327,30,69700,"(1365.0, 1820.0]"
2160,2022.8.4,인스톨,페이스북,fb_app_install_catalog_aos_2201,1147817,92487,507,2264,15,76521,"(455.0, 910.0]"
2161,2022.8.4,인스톨,페이스북,fb_app_install_catalog_ios_2201,1463569,255986,750,1951,10,146357,"(455.0, 910.0]"
2165,2022.8.5,인스톨,페이스북,fb_app_install_AAA_aos_2205,1741993,248082,869,2005,18,96777,"(455.0, 910.0]"
2166,2022.8.5,인스톨,페이스북,fb_app_install_AAA_ios_2205,2125066,593485,1323,1606,16,132817,"(910.0, 1365.0]"
2167,2022.8.5,인스톨,페이스북,fb_app_install_catalog_aos_2201,1159668,86791,477,2431,20,57983,"(455.0, 910.0]"
2168,2022.8.5,인스톨,페이스북,fb_app_install_catalog_ios_2201,1414733,189286,689,2053,4,353683,"(455.0, 910.0]"
2172,2022.8.6,인스톨,페이스북,fb_app_install_AAA_aos_2205,1765150,336161,917,1925,24,73548,"(910.0, 1365.0]"
2173,2022.8.6,인스톨,페이스북,fb_app_install_AAA_ios_2205,2168000,790185,1206,1798,32,67750,"(910.0, 1365.0]"
2174,2022.8.6,인스톨,페이스북,fb_app_install_catalog_aos_2201,1182918,103876,443,2670,16,73932,"(0.0, 455.0]"
2175,2022.8.6,인스톨,페이스북,fb_app_install_catalog_ios_2201,1450301,242882,672,2158,16,90644,"(455.0, 910.0]"
2179,2022.8.7,인스톨,페이스북,fb_app_install_AAA_aos_2205,1887910,296119,1027,1838,26,72612,"(910.0, 1365.0]"
2180,2022.8.7,인스톨,페이스북,fb_app_install_AAA_ios_2205,2301380,836764,1297,1774,16,143836,"(910.0, 1365.0]"
2181,2022.8.7,인스톨,페이스북,fb_app_install_catalog_aos_2201,1253182,98417,541,2316,21,59675,"(455.0, 910.0]"
2182,2022.8.7,인스톨,페이스북,fb_app_install_catalog_ios_2201,1530469,247032,714,2144,9,170052,"(455.0, 910.0]"
2186,2022.8.8,인스톨,페이스북,fb_app_install_AAA_aos_2205,1826911,337728,975,1874,25,73076,"(910.0, 1365.0]"
2187,2022.8.8,인스톨,페이스북,fb_app_install_AAA_ios_2205,2235259,934737,1451,1540,19,117645,"(1365.0, 1820.0]"
2188,2022.8.8,인스톨,페이스북,fb_app_install_catalog_aos_2201,1214748,96553,472,2574,7,173535,"(455.0, 910.0]"
2189,2022.8.8,인스톨,페이스북,fb_app_install_catalog_ios_2201,1486819,262801,761,1954,8,185852,"(455.0, 910.0]"
2193,2022.8.9,인스톨,페이스북,fb_app_install_AAA_aos_2205,1768934,318176,1021,1733,30,58964,"(910.0, 1365.0]"
2194,2022.8.9,인스톨,페이스북,fb_app_install_AAA_ios_2205,2159326,937745,1407,1535,27,79975,"(1365.0, 1820.0]"
2195,2022.8.9,인스톨,페이스북,fb_app_install_catalog_aos_2201,1178184,105754,569,2071,22,53554,"(455.0, 910.0]"
2196,2022.8.9,인스톨,페이스북,fb_app_install_catalog_ios_2201,1438684,268390,701,2052,13,110668,"(455.0, 910.0]"
2200,2022.8.10,인스톨,페이스북,fb_app_install_AAA_aos_2205,1769697,346515,1047,1690,25,70788,"(910.0, 1365.0]"
2201,2022.8.10,인스톨,페이스북,fb_app_install_AAA_ios_2205,2151696,893397,1582,1360,19,113247,"(1365.0, 1820.0]"
2202,2022.8.10,인스톨,페이스북,fb_app_install_catalog_aos_2201,1180644,104177,516,2288,14,84332,"(455.0, 910.0]"
2203,2022.8.10,인스톨,페이스북,fb_app_install_catalog_ios_2201,1432984,256106,765,1873,6,238831,"(455.0, 910.0]"
2207,2022.8.11,인스톨,페이스북,fb_app_install_AAA_aos_2205,1748113,269154,984,1777,18,97117,"(910.0, 1365.0]"
2208,2022.8.11,인스톨,페이스북,fb_app_install_AAA_ios_2205,2150450,763088,1561,1378,26,82710,"(1365.0, 1820.0]"
2209,2022.8.11,인스톨,페이스북,fb_app_install_catalog_aos_2201,1169214,92642,497,2353,23,50835,"(455.0, 910.0]"
2210,2022.8.11,인스톨,페이스북,fb_app_install_catalog_ios_2201,1436504,216958,752,1910,12,119709,"(455.0, 910.0]"
2214,2022.8.12,인스톨,페이스북,fb_app_install_AAA_aos_2205,1772656,286932,877,2021,19,93298,"(455.0, 910.0]"
2215,2022.8.12,인스톨,페이스북,fb_app_install_AAA_ios_2205,2128430,759752,1387,1535,19,112023,"(1365.0, 1820.0]"
2216,2022.8.12,인스톨,페이스북,fb_app_install_catalog_aos_2201,1178822,94783,463,2546,15,78588,"(455.0, 910.0]"
