,date,label,media,campaign,spend,imp,click,install,CPI,first_purchase,cpa,month,year
256,2022-03-05,인스톨,ACi,★ [AOS] UAC_Action,691526.165,58346,907,110,6286.6015,2,345763.0825,3,2022
257,2022-03-05,인스톨,ACi,★ [AOS] UAC_Install,1484291.545,153975,5565,541,2743.607292,3,494763.8483,3,2022
258,2022-03-05,인스톨,몰로코,29cm_a_ua_kor,682048.3756,420773,8117,19,35897.28292,1,682048.3756,3,2022
259,2022-03-05,인스톨,몰로코,29cm_i_ua_kor,1243354.906,119863,7794,14,88811.06474,1,1243354.906,3,2022
260,2022-03-05,인스톨,크리테오,App Install_AOS,538061.1214,1018615,5715,287,1874.777426,2,269030.5607,3,2022
261,2022-03-05,인스톨,크리테오,App Install_iOS (NEW),1349458.8,2490938,4958,120,11245.49,1,1349458.8,3,2022
262,2022-03-05,인스톨,페이스북,fb_app_install_catalog_aos_2201,433953.0509,35243,3365,499,869.6453925,23,18867.52395,3,2022
263,2022-03-05,인스톨,페이스북,fb_app_install_catalog_ios_2201,1386947.986,235422,18321,666,2082.504484,17,81585.17565,3,2022
264,2022-03-05,첫구매,ACe,★ [AOS] ACe_앱오픈&미구매 유저,386787.665,110403,1357,2,193393.8325,1,386787.665,3,2022
265,2022-03-05,첫구매,카카오모먼트,220203_카카오비즈보드(전환_앱),131813.0,34493,314,0,0.0,0,0.0,3,2022
266,2022-03-05,첫구매,페이스북,fb_conversion_visit_catalog_2201_daba,3676201.624,172475,10654,66,55700.0246,116,31691.39331,3,2022
267,2022-03-06,인스톨,ACi,★ [AOS] UAC_Action,673670.69,61747,1090,127,5304.493622,4,168417.6725,3,2022
268,2022-03-06,인스톨,ACi,★ [AOS] UAC_Install,1507129.855,147711,5439,571,2639.456839,5,301425.971,3,2022
269,2022-03-06,인스톨,몰로코,29cm_a_ua_kor,682777.5134,447271,7886,29,23544.05219,1,682777.5134,3,2022
270,2022-03-06,인스톨,몰로코,29cm_i_ua_kor,1244437.545,128763,7640,15,82962.503,1,1244437.545,3,2022
271,2022-03-06,인스톨,크리테오,App Install_AOS,831057.727,1412444,8566,380,2186.994018,6,138509.6212,3,2022
272,2022-03-06,인스톨,크리테오,App Install_iOS (NEW),1264968.944,1894363,4080,120,10541.40787,5,252993.7889,3,2022
273,2022-03-06,인스톨,페이스북,fb_app_install_catalog_aos_2201,382126.2159,35419,3126,503,759.6942662,25,15285.04864,3,2022
274,2022-03-06,인스톨,페이스북,fb_app_install_catalog_ios_2201,1226401.586,221314,18005,1024,1197.657799,18,68133.42146,3,2022
275,2022-03-06,첫구매,ACe,★ [AOS] ACe_앱오픈&미구매 유저,338435.57,107366,1290,0,0.0,5,67687.114,3,2022
276,2022-03-06,첫구매,카카오모먼트,220203_카카오비즈보드(전환_앱),137412.0,26140,264,0,0.0,1,137412.0,3,2022
277,2022-03-06,첫구매,페이스북,fb_conversion_visit_catalog_2201_daba,3666904.038,170535,9787,54,67905.63033,92,39857.65259,3,2022
278,2022-03-07,인스톨,ACi,★ [AOS] UAC_Action,452393.095,40055,695,92,4917.31625,4,113098.2738,3,2022
279,2022-03-07,인스톨,ACi,★ [AOS] UAC_Install,1367936.845,139782,4822,515,2656.188049,6,227989.4742,3,2022
280,2022-03-07,인스톨,몰로코,29cm_a_ua_kor,261766.5004,243883,2979,11,23796.95458,0,0.0,3,2022
281,2022-03-07,인스톨,몰로코,29cm_i_ua_kor,499765.1657,68009,2862,5,99953.03315,0,0.0,3,2022
282,2022-03-07,인스톨,크리테오,App Install_AOS,633489.0276,996584,5817,314,2017.48098,4,158372.2569,3,2022
283,2022-03-07,인스톨,크리테오,App Install_iOS (NEW),1098506.709,1740785,3196,85,12923.60834,1,1098506.709,3,2022
